Keskimääräinen LVK%,Keskimääräinen h-määrä 2012,Keskimääräinen h-määrä 2013,Keskimääräinen h-määrä 2014,Keskimääräinen h-määrä 2015,Toimialakoodi,Toimiala
64.8,119,112,109,87,43999,Muu muualla luokittelematon erikoistunut rakennustoiminta
66.5,62,63,63,59,16100,Puun sahaus, höyläys ja kyllästys
69.8,47,42,38,22,71125,Sähkötekninen suunnittelu
70.3,211,202,266,276,61900,Muut televiestintäpalvelut
73.1,15,15,14,14,43110,Rakennusten ja rakennelmien purku
74.2,25,34,24,24,27900,Muiden sähkölaitteiden valmistus
79.2,32,50,53,56,28250,Muuhun kuin kotitalouskäyttöön tarkoitettujen jäähdytys- ja tuuletuslaitteiden valmistus
80.5,1347,1491,1482,1493,61200,Langattoman verkon hallinta ja palvelut
82.6,154,168,156,164,72193,Tekniikan tutkimus ja kehittäminen
83.2,0,0,0,0,46189,Muualla luokittelematon erikoistunut agentuuritoiminta
84.6,50,66,73,70,17220,Paperisten talous- ja hygieniatarvikkeiden valmistus
85.8,162,156,177,161,43220,Lämpö-, vesijohto- ja ilmastointiasennus
86.4,392,406,406,485,64990,Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)
86.4,396,392,391,701,23690,Muiden betoni-, kipsi- ja sementtituotteiden valmistus
95.3,39,45,53,60,71126,Muu rakennustekninen palvelu
98.5,317,298,324,315,27110,Sähkömoottorien, generaattorien ja muuntajien valmistus
99.4,27,27,29,31,71110,Arkkitehtipalvelut
103.7,1277,1177,1092,1162,20590,Muualla luokittelematon kemiallisten tuotteiden valmistus
111.7,31,43,0,0,17110,Massan valmistus
142.0,204,287,326,402,68209,Muiden kiinteistöjen vuokraus ja hallinta
151.2,43,58,57,60,82910,Perintä- ja luottotietopalvelut
152.1,34,31,59,53,16239,Muu rakennuspuusepäntuotteiden valmistus
157.4,14,80,100,98,43310,Rappaus
179.0,23,24,28,45,71122,Maa- ja vesirakentamisen tekninen palvelu
181.7,86,86,66,72,25620,Metallien työstö
188.2,647,611,455,413,30110,Laivojen ja kelluvien rakenteiden rakentaminen
203.0,37,35,34,36,81300,Maisemanhoitopalvelut
206.2,226,217,213,184,31010,Konttori- ja myymäläkalusteiden valmistus
214.7,0,18,30,0,47521,Rauta- ja rakennustarvikkeiden yleisvähittäiskauppa
219.5,155,167,166,180,62020,Atk-laitteisto- ja ohjelmistokonsultointi
256.8,0,0,0,0,33150,Laivojen ja veneiden korjaus ja huolto
277.4,182,188,198,189,62010,Ohjelmistojen suunnittelu ja valmistus
318.3,89,86,88,89,33122,Maa- ja metsätalouskoneiden korjaus ja huolto
386.1,278,254,252,248,95110,Tietokoneiden ja niiden oheislaitteiden korjaus
387.9,145,142,149,145,7290,Muiden värimetallimalmien louhinta
617.2,166,149,142,140,41200,Asuin- ja muiden rakennusten rakentaminen
718.9,18,30,30,30,26700,Optisten instrumenttien ja valokuvausvälineiden valmistus
892.5,133,145,153,160,43342,Lasitus
1289.1,17,19,20,13,43320,Rakennuspuusepän asennustyöt
